console_display,full_title,total_search_results,tune_title,tune_slug,composer,meter,incipit,key,place_of_origin,copyright,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url
CrownHimMany,Crown Him with Many Crowns,10,DINBYCH,dinbych_parry,Joseph Parry,6.6.8.6 D,15554 32234 5475,c minor,,Public Domain,16,https://hymnary.org/media/fetch/99169,https://hymnary.org/media/fetch/180737,https://hymnary.org/media/fetch/96084,https://hymnary.org/tune/dinbych_parry
CrownHimMany,Crown Him with Many Crowns,10,[Look ye saints the sight is glorious] (Kirkpatrick),look_ye_saints_the_sight_is_kirkpatrick,Wm. J. Kirkpatrick (1909),,12151 23122 22322,,,Public Domain,10,https://hymnary.org/media/fetch/190333,,,https://hymnary.org/tune/look_ye_saints_the_sight_is_kirkpatrick
Doxology,Doxology,10,NUN DANKET,nun_danket_cruger_555665,Johann Crüger (1647),6.7.6.7.6.6.6.6,55566 53432 32155,F Major,Germany,Public Domain,610,https://hymnary.org/media/fetch/80595,https://hymnary.org/media/fetch/222543,https://hymnary.org/media/fetch/80596,https://hymnary.org/tune/nun_danket_cruger_555665
Doxology,Doxology,10,LASST UNS ERFREUEN,lasst_uns_erfreuen,,8.8.4.4.8.8 with refrain,11231 34511 23134,D Major,Germany,Public Domain,554,https://hymnary.org/media/fetch/79984,https://hymnary.org/media/fetch/222231,https://hymnary.org/media/fetch/79985,https://hymnary.org/tune/lasst_uns_erfreuen
Doxology,Doxology,10,LOBE DEN HERREN,lobe_den_herren_115321,Anonymous (1665),14.14.4.7.8,11532 17656 7121,F Major,Germany,Public Domain,478,https://hymnary.org/media/fetch/79987,https://hymnary.org/media/fetch/222475,https://hymnary.org/media/fetch/79988,https://hymnary.org/tune/lobe_den_herren_115321
Doxology,Doxology,10,MARION (Messiter),marion_messiter,Arthur Henry Messiter (1883),6.6.8.6 with refrain,15321 23331 23455,F Major,,Public Domain,286,https://hymnary.org/media/fetch/80033,https://hymnary.org/media/fetch/222262,https://hymnary.org/media/fetch/80034,https://hymnary.org/tune/marion_messiter
Doxology,Doxology,10,FAIRHILL,fairhill_owens,Jimmy Owens,8.8.8.8,51234 55654 55432,E♭ Major,,"© 1972 Bud John Songs, Inc. Admin. By EMI Christian Music Publishing.",25,,,,https://hymnary.org/tune/fairhill_owens
Eternal FatherSav,"Eternal Father, Strong to Save",10,WAREHAM (Knapp),wareham_knapp,William Knapp (1738),8.8.8.8,11765 12171 23217,A Major/B♭ Major,,Public Domain,579,https://hymnary.org/media/fetch/81138,https://hymnary.org/media/fetch/199083,https://hymnary.org/media/fetch/81139,https://hymnary.org/tune/wareham_knapp
Eternal FatherSav,"Eternal Father, Strong to Save",10,MELITA (Dykes),melita_dykes,John Bacchus Dykes (1861),8.8.8.8.8.8,13355 66551 27554,C Major,England,Public Domain,523,https://hymnary.org/media/fetch/80235,https://hymnary.org/media/fetch/222501,https://hymnary.org/media/fetch/80236,https://hymnary.org/tune/melita_dykes
Eternal FatherSav,"Eternal Father, Strong to Save",10,VATER UNSER,vater_unser_55345,,8.8.8.8.8.8,55345 32155 47534,c minor,,Public Domain,208,https://hymnary.org/media/fetch/82796,https://hymnary.org/media/fetch/199216,https://hymnary.org/media/fetch/82797,https://hymnary.org/tune/vater_unser_55345
